Date,Close,Volume,Market Cap,ETH
"Aug 07, 2015",279.59,42484800,4032820000,2.77
"Aug 08, 2015",261,58533000,4048270000,0.753325
"Aug 09, 2015",265.08,23789600,3779770000,0.701897
"Aug 10, 2015",264.47,20979400,3843850000,0.708448
"Aug 11, 2015",270.39,25433900,3828500000,1.07
"Aug 12, 2015",266.38,26815400,3920210000,1.22
"Aug 13, 2015",264.08,27685500,3857090000,1.83
"Aug 14, 2015",265.68,27091200,3828340000,1.83
"Aug 15, 2015",261.55,19321100,3849530000,1.69
"Aug 16, 2015",258.51,29717000,3797330000,1.57
"Aug 17, 2015",257.98,21617900,3749260000,1.2
"Aug 18, 2015",211.08,42147200,3742020000,1.09
"Aug 19, 2015",226.68,60869200,3274860000,1.26
"Aug 20, 2015",235.35,32275000,3293570000,1.46
"Aug 21, 2015",232.57,23173800,3417200000,1.4
"Aug 22, 2015",230.39,23205900,3379050000,1.38
"Aug 23, 2015",228.17,18406600,3346760000,1.35
"Aug 24, 2015",210.5,59220700,3314640000,1.23
"Aug 25, 2015",221.61,61089200,3053250000,1.14
"Aug 26, 2015",225.83,31808000,3228540000,1.16
"Aug 27, 2015",224.77,21905400,3287220000,1.15
"Aug 28, 2015",231.4,31336600,3268370000,1.19
"Aug 29, 2015",229.78,17142500,3368880000,1.18
"Aug 30, 2015",228.76,19412600,3345740000,1.32
"Aug 31, 2015",230.06,20710700,3335220000,1.36
"Sep 01, 2015",228.12,20575200,3352760000,1.35
"Sep 02, 2015",229.28,18760400,3321180000,1.29
"Sep 03, 2015",227.18,17482000,3340990000,1.26
"Sep 04, 2015",230.3,20962400,3311080000,1.27
"Sep 05, 2015",235.02,20671400,3355470000,1.34
"Sep 06, 2015",239.84,25473700,3424420000,1.3
"Sep 07, 2015",239.85,21192200,3499120000,1.25
"Sep 08, 2015",243.61,26879200,3498750000,1.24
"Sep 09, 2015",238.17,23635700,3551640000,1.21
"Sep 10, 2015",238.48,21215500,3478410000,1.17
"Sep 11, 2015",240.11,19224700,3479310000,0.982978
"Sep 12, 2015",235.23,17962600,3502520000,1.04
"Sep 13, 2015",230.51,18478800,3435990000,0.936003
"Sep 14, 2015",230.64,20997800,3369190000,0.875622
"Sep 15, 2015",230.3,19177800,3368360000,0.94441
"Sep 16, 2015",229.09,20144200,3365740000,0.907175
"Sep 17, 2015",229.81,18935400,3349390000,0.874231
"Sep 18, 2015",232.98,20242200,3415440000,0.853685
"Sep 19, 2015",231.49,12712600,3406390000,0.882391
"Sep 20, 2015",231.21,14444700,3385770000,0.938445
"Sep 21, 2015",227.09,19678800,3383840000,0.919047
