Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Oct 11, 2015",247.05,16827300,3599840000,45.09,1122.5,0.634963,0.005182,0.005182,3.15,3.15,3.15,0.00211,0.00211,2.39,0.000109,0.000109,1
"Oct 12, 2015",245.31,17388300,3632110000,47.1,1164.2,0.62603,0.00526,0.00526,3.14,3.14,3.14,0.002031,0.002031,2.34,0.000117,0.000117,1
"Oct 13, 2015",249.51,28198500,3608340000,46.66,1154.4,0.607655,0.005377,0.005377,3.18,3.18,3.18,0.002101,0.002101,2.35,0.000119,0.000119,1
"Oct 14, 2015",251.99,27462600,3672370000,46.64,1173.7,0.522968,0.005418,0.005418,3.14,3.14,3.14,0.001915,0.001915,2.32,0.000116,0.000116,1
"Oct 15, 2015",254.32,25223500,3711800000,46.38,1183.35,0.561878,0.005399,0.005399,3.1,3.1,3.1,0.001934,0.001934,2.25,0.000113,0.000113,1
"Oct 16, 2015",262.87,35901500,3745090000,47.26,1176.35,0.536495,0.005398,0.005398,3.11,3.11,3.11,0.001936,0.001936,2.34,0.000117,0.000117,1
"Oct 17, 2015",270.64,43199600,3870490000,47.26,1176.35,0.547178,0.005203,0.005203,3.07,3.07,3.07,0.001986,0.001986,2.43,0.000124,0.000124,1
"Oct 18, 2015",261.64,22434300,3991620000,47.26,1176.35,0.517734,0.004979,0.004979,3.02,3.02,3.02,0.001972,0.001972,2.37,0.000124,0.000124,1
"Oct 19, 2015",263.44,25258800,3859270000,45.89,1171.65,0.489014,0.005043,0.005043,3.05,3.05,3.05,0.001933,0.001933,2.34,0.000108,0.000108,1
"Oct 20, 2015",269.46,30889800,3885570000,45.55,1173.7,0.434829,0.004731,0.004731,3.09,3.09,3.09,0.00187,0.00187,2.41,0.000117,0.000117,1
"Oct 21, 2015",266.27,25637300,3970980000,45.2,1174.4,0.447329,0.004697,0.004697,3.08,3.08,3.08,0.001975,0.001975,2.28,0.000117,0.000117,1
"Oct 22, 2015",274.02,37808600,3930500000,45.38,1166.45,0.567702,0.004723,0.004723,3.11,3.11,3.11,0.001957,0.001957,2.41,0.000118,0.000118,1
"Oct 23, 2015",276.5,29442500,4037010000,44.6,1171.55,0.539657,0.004677,0.004677,3.11,3.11,3.11,0.001956,0.001956,2.33,0.000119,0.000119,1
"Oct 24, 2015",281.65,25942400,4080140000,44.6,1171.55,0.56359,0.004662,0.004662,3.1,3.1,3.1,0.001923,0.001923,2.24,0.000123,0.000123,1
"Oct 25, 2015",283.68,45717100,4154100000,44.6,1171.55,0.616039,0.004556,0.004556,3.07,3.07,3.07,0.001886,0.001886,2.17,0.000119,0.000119,1
"Oct 26, 2015",285.3,32108800,4187410000,43.98,1168.5,0.731317,0.004675,0.004675,3.1,3.1,3.1,0.00186,0.00186,2.24,0.000114,0.000114,1
"Oct 27, 2015",293.79,46331800,4211500000,43.2,1165.75,0.869641,0.004649,0.004649,3.09,3.09,3.09,0.001997,0.001997,2.1,0.000117,0.000117,1
"Oct 28, 2015",304.62,50808100,4338430000,45.94,1171.5,1,0.004675,0.004675,3.1,3.1,3.1,0.00202,0.00202,2.14,0.00012,0.00012,1
"Oct 29, 2015",313.86,64495900,4496390000,46.06,1159,1.21,0.004634,0.004634,3.78,3.78,3.78,0.002069,0.002069,2.39,0.00014,0.00014,1
"Oct 30, 2015",328.02,78305000,4639690000,46.59,1147.75,1.04,0.004839,0.004839,4.06,4.06,4.06,0.002185,0.002185,2.54,0.000158,0.000158,1
"Oct 31, 2015",314.17,48598100,4856410000,46.59,1147.75,0.916627,0.004687,0.004687,3.8,3.8,3.8,0.00216,0.00216,2.31,0.000145,0.000145,1
"Nov 01, 2015",325.43,37001100,4657890000,46.59,1147.75,1.06,0.004901,0.004901,3.96,3.96,3.96,0.002128,0.002128,2.66,0.00015,0.00015,1
"Nov 02, 2015",361.19,101918000,4820850000,46.59,1147.75,0.989789,0.005156,0.005156,4.16,4.16,4.16,0.00219,0.00219,2.61,0.000162,0.000162,1
