Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Aug 20, 2015",235.35,32275000,3293570000.0,41.14,1137.95,1.46,0.007872,0.007872,3.61,3.61,3.61,0.00203,0.00203,2.78,0.000106,0.000106,1.0
"Aug 21, 2015",232.57,23173800,3417200000.0,40.45,1149.35,1.4,0.007881,0.007881,3.57,3.57,3.57,0.001995,0.001995,2.76,0.000101,0.000101,1.0
"Aug 22, 2015",230.39,23205900,3379050000.0,40.45,1149.35,1.38,0.007722,0.007722,3.51,3.51,3.51,0.002001,0.002001,2.68,0.000101,0.000101,1.0
"Aug 23, 2015",228.17,18406600,3346760000.0,40.45,1149.35,1.35,0.007552,0.007552,3.39,3.39,3.39,0.001959,0.001959,2.64,9.8e-05,9.8e-05,1.0
"Aug 24, 2015",210.5,59220700,3314640000.0,38.24,1153.5,1.23,0.007397,0.007397,2.99,2.99,2.99,0.0018920000000000002,0.0018920000000000002,2.38,9.300000000000001e-05,9.300000000000001e-05,1.0
"Aug 25, 2015",221.61,61089200,3053250000.0,39.31,1154.25,1.14,0.007126,0.007126,2.94,2.94,2.94,0.001855,0.001855,2.53,8.6e-05,8.6e-05,1.0
"Aug 26, 2015",225.83,31808000,3228540000.0,38.6,1134.4,1.16,0.007492,0.007492,2.95,2.95,2.95,0.0020350000000000004,0.0020350000000000004,2.61,9e-05,9e-05,1.0
"Aug 27, 2015",224.77,21905400,3287220000.0,42.56,1128.5,1.15,0.007551,0.007551,2.87,2.87,2.87,0.0020050000000000003,0.0020050000000000003,2.56,9.7e-05,9.7e-05,1.0
"Aug 28, 2015",231.4,31336600,3268370000.0,45.22,1125.5,1.19,0.0074329999999999995,0.0074329999999999995,2.91,2.91,2.91,0.0023539999999999998,0.0023539999999999998,2.6,9.300000000000001e-05,9.300000000000001e-05,1.0
"Aug 29, 2015",229.78,17142500,3368880000.0,45.22,1125.5,1.18,0.007751000000000001,0.007751000000000001,2.88,2.88,2.88,0.002577,0.002577,2.6,9.6e-05,9.6e-05,1.0
"Aug 30, 2015",228.76,19412600,3345740000.0,45.22,1125.5,1.32,0.00805,0.00805,2.85,2.85,2.85,0.002363,0.002363,2.56,0.00010400000000000001,0.00010400000000000001,1.0
"Aug 31, 2015",230.06,20710700,3335220000.0,49.2,1125.5,1.36,0.007884,0.007884,2.84,2.84,2.84,0.002479,0.002479,2.58,9.4e-05,9.4e-05,1.0
"Sep 01, 2015",228.12,20575200,3352760000.0,49.2,1125.5,1.35,0.007815,0.007815,2.82,2.82,2.82,0.002435,0.002435,2.54,0.0001,0.0001,1.0
"Sep 02, 2015",229.28,18760400,3321180000.0,49.2,1125.5,1.29,0.0077,0.0077,2.8,2.8,2.8,0.0024230000000000002,0.0024230000000000002,2.51,8.8e-05,8.8e-05,1.0
"Sep 03, 2015",227.18,17482000,3340990000.0,49.2,1125.5,1.26,0.007431,0.007431,2.63,2.63,2.63,0.0023769999999999998,0.0023769999999999998,2.47,8.9e-05,8.9e-05,1.0
"Sep 04, 2015",230.3,20962400,3311080000.0,49.2,1125.5,1.27,0.0073549999999999996,0.0073549999999999996,2.7,2.7,2.7,0.002321,0.002321,2.45,9.7e-05,9.7e-05,1.0
"Sep 05, 2015",235.02,20671400,3355470000.0,49.2,1125.5,1.34,0.007859999999999999,0.007859999999999999,2.92,2.92,2.92,0.0024760000000000003,0.0024760000000000003,2.51,8.6e-05,8.6e-05,1.0
"Sep 06, 2015",239.84,25473700,3424420000.0,49.2,1125.5,1.3,0.007891,0.007891,3.05,3.05,3.05,0.002527,0.002527,2.49,9.6e-05,9.6e-05,1.0
"Sep 07, 2015",239.85,21192200,3499120000.0,49.2,1125.5,1.25,0.007918000000000001,0.007918000000000001,3.05,3.05,3.05,0.0024519999999999998,0.0024519999999999998,2.38,9.6e-05,9.6e-05,1.0
"Sep 08, 2015",243.61,26879200,3498750000.0,49.2,1125.5,1.24,0.007831,0.007831,3.05,3.05,3.05,0.0023,0.0023,2.33,9.9e-05,9.9e-05,1.0
"Sep 09, 2015",238.17,23635700,3551640000.0,49.2,1125.5,1.21,0.007678,0.007678,2.92,2.92,2.92,0.002195,0.002195,2.44,9e-05,9e-05,1.0
"Sep 10, 2015",238.48,21215500,3478410000.0,45.92,1107.75,1.17,0.007663,0.007663,2.95,2.95,2.95,0.002208,0.002208,2.38,9.1e-05,9.1e-05,1.0
"Sep 11, 2015",240.11,19224700,3479310000.0,44.63,1106.35,0.982978,0.008444,0.008444,2.96,2.96,2.96,0.002231,0.002231,2.38,9.4e-05,9.4e-05,1.0
"Sep 12, 2015",235.23,17962600,3502520000.0,44.63,1106.35,1.04,0.008197,0.008197,2.83,2.83,2.83,0.002239,0.002239,2.43,8.7e-05,8.7e-05,1.0
"Sep 13, 2015",230.51,18478800,3435990000.0,44.63,1106.35,0.936003,0.008532,0.008532,2.82,2.82,2.82,0.0021579999999999998,0.0021579999999999998,2.34,9e-05,9e-05,1.0
"Sep 14, 2015",230.64,20997800,3369190000.0,44.0,1108.0,0.8756219999999999,0.007404000000000001,0.007404000000000001,2.84,2.84,2.84,0.002139,0.002139,2.31,9e-05,9e-05,1.0
"Sep 15, 2015",230.3,19177800,3368360000.0,44.59,1105.5,0.9444100000000001,0.00772,0.00772,2.82,2.82,2.82,0.002183,0.002183,2.32,9.9e-05,9.9e-05,1.0
"Sep 16, 2015",229.09,20144200,3365740000.0,47.15,1109.75,0.907175,0.007426,0.007426,2.8,2.8,2.8,0.002159,0.002159,2.37,0.000106,0.000106,1.0
"Sep 17, 2015",229.81,18935400,3349390000.0,46.9,1118.15,0.874231,0.007372,0.007372,2.91,2.91,2.91,0.002228,0.002228,2.37,0.00010800000000000001,0.00010800000000000001,1.0
"Sep 18, 2015",232.98,20242200,3415440000.0,44.68,1136.0,0.853685,0.007529000000000001,0.007529000000000001,2.96,2.96,2.96,0.0022429999999999998,0.0022429999999999998,2.46,0.0001,0.0001,1.0
"Sep 19, 2015",231.49,12712600,3406390000.0,44.68,1136.0,0.882391,0.007481999999999999,0.007481999999999999,2.87,2.87,2.87,0.0022949999999999997,0.0022949999999999997,2.36,0.000102,0.000102,1.0
"Sep 20, 2015",231.21,14444700,3385770000.0,44.68,1136.0,0.9384450000000001,0.0076370000000000006,0.0076370000000000006,2.85,2.85,2.85,0.002223,0.002223,2.39,0.0001,0.0001,1.0
"Sep 21, 2015",227.09,19678800,3383840000.0,46.68,1136.85,0.919047,0.007247,0.007247,2.8,2.8,2.8,0.0021420000000000002,0.0021420000000000002,2.35,0.000102,0.000102,1.0
"Sep 22, 2015",230.62,25009300,3322420000.0,45.83,1129.3,0.9017959999999999,0.007168000000000001,0.007168000000000001,2.84,2.84,2.84,0.0021379999999999997,0.0021379999999999997,2.46,0.00013000000000000002,0.00013000000000000002,1.0
"Sep 23, 2015",230.28,17254100,3381390000.0,44.48,1124.6,0.8934059999999999,0.006668,0.006668,2.87,2.87,2.87,0.002082,0.002082,2.43,0.00011999999999999999,0.00011999999999999999,1.0
"Sep 24, 2015",234.53,25097800,3373850000.0,44.91,1134.45,0.81361,0.00671,0.00671,2.93,2.93,2.93,0.002058,0.002058,2.44,0.00011599999999999999,0.00011599999999999999,1.0
"Sep 25, 2015",235.14,22363600,3433300000.0,45.7,1145.5,0.736223,0.00665,0.00665,2.89,2.89,2.89,0.0020559999999999997,0.0020559999999999997,2.45,0.000134,0.000134,1.0
"Sep 26, 2015",234.34,13724100,3444730000.0,45.7,1145.5,0.785964,0.006501000000000001,0.006501000000000001,2.89,2.89,2.89,0.002071,0.002071,2.33,0.000131,0.000131,1.0
"Sep 27, 2015",232.76,14179900,3431860000.0,45.7,1145.5,0.720839,0.006536,0.006536,2.87,2.87,2.87,0.0020670000000000003,0.0020670000000000003,2.36,0.00013000000000000002,0.00013000000000000002,1.0
"Sep 28, 2015",239.14,24713000,3413630000.0,44.43,1137.5,0.582886,0.006294,0.006294,3.07,3.07,3.07,0.002091,0.002091,2.38,0.000139,0.000139,1.0
"Sep 29, 2015",236.69,22691300,3505090000.0,45.23,1124.6,0.661146,0.005579,0.005579,2.97,2.97,2.97,0.002055,0.002055,2.34,0.000149,0.000149,1.0
"Sep 30, 2015",236.06,19743500,3471280000.0,45.09,1122.5,0.738644,0.005520000000000001,0.005520000000000001,3.01,3.01,3.01,0.0019850000000000002,0.0019850000000000002,2.34,0.000151,0.000151,1.0
"Oct 01, 2015",237.55,20488800,3462800000.0,45.09,1122.5,0.6902149999999999,0.005448,0.005448,3.0,3.0,3.0,0.002224,0.002224,2.29,0.000175,0.000175,1.0
"Oct 02, 2015",237.29,19677900,3482190000.0,45.09,1122.5,0.678574,0.005868,0.005868,2.99,2.99,2.99,0.002076,0.002076,2.22,0.000149,0.000149,1.0
"Oct 03, 2015",238.73,16482700,3482100000.0,45.09,1122.5,0.687171,0.005517,0.005517,3.03,3.03,3.03,0.002013,0.002013,2.17,0.000127,0.000127,1.0
"Oct 04, 2015",238.26,12999000,3502460000.0,45.09,1122.5,0.668379,0.005236,0.005236,3.01,3.01,3.01,0.0020510000000000003,0.0020510000000000003,2.17,0.000122,0.000122,1.0
"Oct 05, 2015",240.38,23335900,3497740000.0,45.09,1122.5,0.6286430000000001,0.005007999999999999,0.005007999999999999,3.02,3.02,3.02,0.001989,0.001989,2.34,0.00011899999999999999,0.00011899999999999999,1.0
"Oct 06, 2015",246.06,27535100,3531230000.0,45.09,1122.5,0.650645,0.005328,0.005328,3.15,3.15,3.15,0.002077,0.002077,2.39,0.000123,0.000123,1.0
"Oct 07, 2015",242.97,22999200,3617400000.0,45.09,1122.5,0.609388,0.005375,0.005375,3.06,3.06,3.06,0.002075,0.002075,2.4,0.000136,0.000136,1.0
"Oct 08, 2015",242.3,18515300,3572730000.0,45.09,1122.5,0.6217159999999999,0.005031,0.005031,3.06,3.06,3.06,0.001996,0.001996,2.38,0.000118,0.000118,1.0
"Oct 09, 2015",243.93,17353100,3565090000.0,45.09,1122.5,0.650628,0.004983,0.004983,3.11,3.11,3.11,0.002121,0.002121,2.36,0.000117,0.000117,1.0
"Oct 10, 2015",244.94,15912700,3584120000.0,45.09,1122.5,0.627857,0.005037,0.005037,3.11,3.11,3.11,0.002084,0.002084,2.43,0.00011200000000000001,0.00011200000000000001,1.0
"Oct 11, 2015",247.05,16827300,3599840000.0,45.09,1122.5,0.634963,0.005182,0.005182,3.15,3.15,3.15,0.0021100000000000003,0.0021100000000000003,2.39,0.000109,0.000109,1.0
"Oct 12, 2015",245.31,17388300,3632110000.0,47.1,1164.2,0.62603,0.00526,0.00526,3.14,3.14,3.14,0.002031,0.002031,2.34,0.000117,0.000117,1.0
"Oct 13, 2015",249.51,28198500,3608340000.0,46.66,1154.4,0.6076550000000001,0.005377000000000001,0.005377000000000001,3.18,3.18,3.18,0.002101,0.002101,2.35,0.00011899999999999999,0.00011899999999999999,1.0
"Oct 14, 2015",251.99,27462600,3672370000.0,46.64,1173.7,0.522968,0.005418,0.005418,3.14,3.14,3.14,0.0019149999999999998,0.0019149999999999998,2.32,0.00011599999999999999,0.00011599999999999999,1.0
"Oct 15, 2015",254.32,25223500,3711800000.0,46.38,1183.35,0.561878,0.005399,0.005399,3.1,3.1,3.1,0.001934,0.001934,2.25,0.000113,0.000113,1.0
"Oct 16, 2015",262.87,35901500,3745090000.0,47.26,1176.35,0.5364949999999999,0.005398,0.005398,3.11,3.11,3.11,0.001936,0.001936,2.34,0.000117,0.000117,1.0
"Oct 17, 2015",270.64,43199600,3870490000.0,47.26,1176.35,0.5471779999999999,0.005203,0.005203,3.07,3.07,3.07,0.001986,0.001986,2.43,0.000124,0.000124,1.0
"Oct 18, 2015",261.64,22434300,3991620000.0,47.26,1176.35,0.517734,0.004979,0.004979,3.02,3.02,3.02,0.001972,0.001972,2.37,0.000124,0.000124,1.0
"Oct 19, 2015",263.44,25258800,3859270000.0,45.89,1171.65,0.48901400000000006,0.005043,0.005043,3.05,3.05,3.05,0.0019329999999999998,0.0019329999999999998,2.34,0.00010800000000000001,0.00010800000000000001,1.0
"Oct 20, 2015",269.46,30889800,3885570000.0,45.55,1173.7,0.434829,0.004731,0.004731,3.09,3.09,3.09,0.00187,0.00187,2.41,0.000117,0.000117,1.0
"Oct 21, 2015",266.27,25637300,3970980000.0,45.2,1174.4,0.447329,0.004697,0.004697,3.08,3.08,3.08,0.001975,0.001975,2.28,0.000117,0.000117,1.0
"Oct 22, 2015",274.02,37808600,3930500000.0,45.38,1166.45,0.567702,0.004723,0.004723,3.11,3.11,3.11,0.001957,0.001957,2.41,0.000118,0.000118,1.0
"Oct 23, 2015",276.5,29442500,4037010000.0,44.6,1171.55,0.5396569999999999,0.004677000000000001,0.004677000000000001,3.11,3.11,3.11,0.001956,0.001956,2.33,0.00011899999999999999,0.00011899999999999999,1.0
"Oct 24, 2015",281.65,25942400,4080140000.0,44.6,1171.55,0.5635899999999999,0.0046619999999999995,0.0046619999999999995,3.1,3.1,3.1,0.001923,0.001923,2.24,0.000123,0.000123,1.0
"Oct 25, 2015",283.68,45717100,4154100000.0,44.6,1171.55,0.616039,0.004556,0.004556,3.07,3.07,3.07,0.0018859999999999999,0.0018859999999999999,2.17,0.00011899999999999999,0.00011899999999999999,1.0
"Oct 26, 2015",285.3,32108800,4187410000.0,43.98,1168.5,0.731317,0.004675,0.004675,3.1,3.1,3.1,0.00186,0.00186,2.24,0.00011399999999999999,0.00011399999999999999,1.0
