Date,Close,Volume,Market Cap
"Aug 07, 2015",279.59,42484800,4032820000
"Aug 08, 2015",261,58533000,4048270000
"Aug 09, 2015",265.08,23789600,3779770000
"Aug 10, 2015",264.47,20979400,3843850000
"Aug 11, 2015",270.39,25433900,3828500000
"Aug 12, 2015",266.38,26815400,3920210000
"Aug 13, 2015",264.08,27685500,3857090000
"Aug 14, 2015",265.68,27091200,3828340000
"Aug 15, 2015",261.55,19321100,3849530000
"Aug 16, 2015",258.51,29717000,3797330000
"Aug 17, 2015",257.98,21617900,3749260000
"Aug 18, 2015",211.08,42147200,3742020000
"Aug 19, 2015",226.68,60869200,3274860000
"Aug 20, 2015",235.35,32275000,3293570000
"Aug 21, 2015",232.57,23173800,3417200000
"Aug 22, 2015",230.39,23205900,3379050000
"Aug 23, 2015",228.17,18406600,3346760000
"Aug 24, 2015",210.5,59220700,3314640000
"Aug 25, 2015",221.61,61089200,3053250000
"Aug 26, 2015",225.83,31808000,3228540000
"Aug 27, 2015",224.77,21905400,3287220000
"Aug 28, 2015",231.4,31336600,3268370000
"Aug 29, 2015",229.78,17142500,3368880000
"Aug 30, 2015",228.76,19412600,3345740000
"Aug 31, 2015",230.06,20710700,3335220000
"Sep 01, 2015",228.12,20575200,3352760000
"Sep 02, 2015",229.28,18760400,3321180000
"Sep 03, 2015",227.18,17482000,3340990000
"Sep 04, 2015",230.3,20962400,3311080000
"Sep 05, 2015",235.02,20671400,3355470000
"Sep 06, 2015",239.84,25473700,3424420000
"Sep 07, 2015",239.85,21192200,3499120000
"Sep 08, 2015",243.61,26879200,3498750000
"Sep 09, 2015",238.17,23635700,3551640000
"Sep 10, 2015",238.48,21215500,3478410000
"Sep 11, 2015",240.11,19224700,3479310000
"Sep 12, 2015",235.23,17962600,3502520000
"Sep 13, 2015",230.51,18478800,3435990000
"Sep 14, 2015",230.64,20997800,3369190000
"Sep 15, 2015",230.3,19177800,3368360000
"Sep 16, 2015",229.09,20144200,3365740000
"Sep 17, 2015",229.81,18935400,3349390000
"Sep 18, 2015",232.98,20242200,3415440000
"Sep 19, 2015",231.49,12712600,3406390000
"Sep 20, 2015",231.21,14444700,3385770000
"Sep 21, 2015",227.09,19678800,3383840000
"Sep 22, 2015",230.62,25009300,3322420000
"Sep 23, 2015",230.28,17254100,3381390000
"Sep 24, 2015",234.53,25097800,3373850000
"Sep 25, 2015",235.14,22363600,3433300000
"Sep 26, 2015",234.34,13724100,3444730000
"Sep 27, 2015",232.76,14179900,3431860000
"Sep 28, 2015",239.14,24713000,3413630000
"Sep 29, 2015",236.69,22691300,3505090000
"Sep 30, 2015",236.06,19743500,3471280000
"Oct 01, 2015",237.55,20488800,3462800000
"Oct 02, 2015",237.29,19677900,3482190000
"Oct 03, 2015",238.73,16482700,3482100000
"Oct 04, 2015",238.26,12999000,3502460000
"Oct 05, 2015",240.38,23335900,3497740000
"Oct 06, 2015",246.06,27535100,3531230000
"Oct 07, 2015",242.97,22999200,3617400000
"Oct 08, 2015",242.3,18515300,3572730000
"Oct 09, 2015",243.93,17353100,3565090000
"Oct 10, 2015",244.94,15912700,3584120000
"Oct 11, 2015",247.05,16827300,3599840000
"Oct 12, 2015",245.31,17388300,3632110000
"Oct 13, 2015",249.51,28198500,3608340000
"Oct 14, 2015",251.99,27462600,3672370000
"Oct 15, 2015",254.32,25223500,3711800000
"Oct 16, 2015",262.87,35901500,3745090000
"Oct 17, 2015",270.64,43199600,3870490000
"Oct 18, 2015",261.64,22434300,3991620000
"Oct 19, 2015",263.44,25258800,3859270000
"Oct 20, 2015",269.46,30889800,3885570000
"Oct 21, 2015",266.27,25637300,3970980000
"Oct 22, 2015",274.02,37808600,3930500000
"Oct 23, 2015",276.5,29442500,4037010000
"Oct 24, 2015",281.65,25942400,4080140000
"Oct 25, 2015",283.68,45717100,4154100000
"Oct 26, 2015",285.3,32108800,4187410000
"Oct 27, 2015",293.79,46331800,4211500000
"Oct 28, 2015",304.62,50808100,4338430000
"Oct 29, 2015",313.86,64495900,4496390000
"Oct 30, 2015",328.02,78305000,4639690000
"Oct 31, 2015",314.17,48598100,4856410000
"Nov 01, 2015",325.43,37001100,4657890000
"Nov 02, 2015",361.19,101918000,4820850000
"Nov 03, 2015",403.42,206162000,5353680000
"Nov 04, 2015",411.56,263900000,5973510000
